observation,action
"0.13559246, 1.3849066, 0.50319594, -0.35052994, -0.1268029, 0.046231415, 0.0, 0.0","0.27347636, -0.9610584"
"0.14069061, 1.3772877, 0.5051467, -0.33822337, -0.122150384, 0.093050525, 0.0, 0.0","0.31727043, -0.98260444"
"0.14579172, 1.3700092, 0.5034429, -0.322965, -0.11553098, 0.13238782, 0.0, 0.0","0.3376568, -0.98858607"
"0.15089607, 1.3627632, 0.5017846, -0.321392, -0.1069235, 0.17214964, 0.0, 0.0","0.35535753, -0.9899594"
"0.15598364, 1.3557914, 0.49808964, -0.30913344, -0.09634015, 0.21166663, 0.0, 0.0","0.37678152, -0.9899594"
"0.16105528, 1.3490729, 0.49449378, -0.2978301, -0.08377758, 0.25125116, 0.0, 0.0","0.39106417, -0.9899594"
"0.1661272, 1.3427354, 0.49249607, -0.28090987, -0.069225624, 0.29103935, 0.0, 0.0","0.39893797, -0.9899594"
"0.17123595, 1.3366096, 0.49410492, -0.27156895, -0.052651502, 0.3314825, 0.0, 0.0","0.40250862, -0.9899594"
"0.17638512, 1.3305926, 0.49609202, -0.26685992, -0.034045275, 0.3721246, 0.0, 0.0","0.4029359, -0.9899594"
"0.18149948, 1.3247185, 0.49057898, -0.26073185, -0.013452573, 0.41185388, 0.0, 0.0","0.4029359, -0.9899594"
"0.18640594, 1.3186557, 0.46788436, -0.26940548, 0.009018594, 0.4494233, 0.0, 0.0","0.4029359, -0.9899594"
"0.1912655, 1.3130466, 0.46117896, -0.24962048, 0.03348239, 0.48927602, 0.0, 0.0","0.4029359, -0.9899594"
"0.19614229, 1.3079519, 0.4608501, -0.22724165, 0.059993275, 0.53021765, 0.0, 0.0","0.4029359, -0.9899594"
"0.20092821, 1.303338, 0.44979367, -0.20645832, 0.088491336, 0.56996125, 0.0, 0.0","0.4054689, -0.9899594"
"0.20550671, 1.2989315, 0.4272116, -0.19794609, 0.118905656, 0.60828674, 0.0, 0.0","0.4054689, -0.9899594"
"0.20981178, 1.2945292, 0.3980847, -0.19855437, 0.15119883, 0.64586335, 0.0, 0.0","0.37318033, -0.9899594"
"0.21380243, 1.2905593, 0.36490294, -0.18026209, 0.18538958, 0.6838151, 0.0, 0.0","0.24356823, -0.8979461"
"0.21767625, 1.2869405, 0.35162884, -0.16570283, 0.22141369, 0.7204823, 0.0, 0.0","0.10995819, -0.7372356"
"0.22139207, 1.2833983, 0.33466557, -0.1634137, 0.25891927, 0.7501124, 0.0, 0.0","0.0, -0.43046358"
"0.22510472, 1.2792741, 0.33470786, -0.19019543, 0.29642123, 0.7500397, 0.0, 0.0","0.0, -0.25309"
"0.22881365, 1.2745676, 0.33475655, -0.21697603, 0.33391955, 0.74996704, 0.0, 0.0","0.0, -0.03302103"
"0.23251858, 1.269279, 0.33481163, -0.24375534, 0.37141424, 0.74989444, 0.0, 0.0","0.0, 0.0003357036"
"0.23621884, 1.2634077, 0.33487302, -0.27053317, 0.4089053, 0.74982184, 0.0, 0.0","0.0, 0.040467545"
"0.23991403, 1.2569534, 0.3349406, -0.29730943, 0.44639274, 0.7497493, 0.0, 0.0","0.0, 0.11941893"
"0.2436039, 1.249916, 0.33501428, -0.3240839, 0.48387656, 0.7496768, 0.0, 0.0","0.0, 0.44062623"
"0.24728794, 1.242295, 0.335094, -0.3508564, 0.52135676, 0.7496042, 0.0, 0.0","0.0, 0.5722831"
"0.25101128, 1.2341222, 0.34089744, -0.3757333, 0.5574843, 0.7225531, 0.0, 0.0","-0.133549, 0.8669393"
"0.25477153, 1.2254109, 0.34652627, -0.39985803, 0.5921395, 0.69310445, 0.0, 0.0","-0.21793267, 1.0000305"
"0.25859746, 1.2161846, 0.35575128, -0.4224865, 0.62440354, 0.645281, 0.0, 0.0","-0.2511063, 1.0000305"
"0.26247185, 1.2064121, 0.36251768, -0.44664896, 0.6550098, 0.612126, 0.0, 0.0","-0.26017028, 1.0000305"
"0.26640052, 1.1961037, 0.37005466, -0.4701493, 0.6836858, 0.5735211, 0.0, 0.0","-0.26358837, 1.0000305"
"0.27039614, 1.1852958, 0.37934554, -0.49160296, 0.7096712, 0.5197081, 0.0, 0.0","-0.26538897, 1.0000305"
"0.27444744, 1.1739748, 0.38710633, -0.5136975, 0.7333489, 0.47355413, 0.0, 0.0","-0.26538897, 1.0000305"
"0.2785446, 1.1621324, 0.39354643, -0.5362278, 0.75501984, 0.4334182, 0.0, 0.0","-0.26651815, 1.0000305"
"0.28268224, 1.1497583, 0.39919624, -0.5592591, 0.7749236, 0.3980755, 0.0, 0.0","-0.26651815, 1.0000305"
"0.28687677, 1.1368594, 0.4067422, -0.5817239, 0.7926362, 0.35425216, 0.0, 0.0","-0.26651815, 1.0000305"
"0.2911312, 1.1234727, 0.4149316, -0.6021835, 0.80752647, 0.2978055, 0.0, 0.0","-0.26651815, 1.0000305"
"0.2954525, 1.1095797, 0.42362556, -0.6234455, 0.8197381, 0.24423273, 0.0, 0.0","-0.26651815, 1.0000305"
"0.29983225, 1.0951686, 0.4311625, -0.6453864, 0.82961535, 0.1975447, 0.0, 0.0","-0.26651815, 1.0000305"
"0.3042695, 1.0802569, 0.43877897, -0.6663724, 0.8368802, 0.14529693, 0.0, 0.0","-0.26651815, 1.0000305"
"0.30876446, 1.0648547, 0.44646278, -0.6867948, 0.84136325, 0.089661665, 0.0, 0.0","-0.2612079, 1.0000305"
"0.3133003, 1.0489324, 0.45192152, -0.70890975, 0.8438362, 0.049458787, 0.0, 0.0","-0.23374127, 1.0000305"
"0.3178877, 1.0324789, 0.45843458, -0.73149276, 0.84429085, 0.009093052, 0.0, 0.0","-0.20105594, 1.0000305"
"0.32253465, 1.0155202, 0.46612343, -0.75264823, 0.84216756, -0.04246618, 0.0, 0.0","-0.17600024, 1.0000305"
"0.32722217, 0.9980228, 0.47134057, -0.7757358, 0.83834064, -0.07653838, 0.0, 0.0","-0.15692617, 1.0000305"
"0.33195418, 0.98000795, 0.47723356, -0.7976892, 0.8324012, -0.11878868, 0.0, 0.0","-0.12527849, 1.0000305"
"0.33673495, 0.9614627, 0.48350635, -0.82028526, 0.82447994, -0.15842602, 0.0, 0.0","0.0, 1.0000305"
"0.34158334, 0.9424177, 0.4922406, -0.8411557, 0.8137646, -0.21430762, 0.0, 0.0","0.0, 1.0000305"
"0.34647417, 0.92285657, 0.49803677, -0.8631338, 0.8009646, -0.25599897, 0.0, 0.0","0.0, 1.0000305"
"0.3514037, 0.9027692, 0.5033668, -0.8857143, 0.7863133, -0.29302624, 0.0, 0.0","0.0, 1.0000305"
"0.35638255, 0.8821621, 0.50997543, -0.9079078, 0.76953125, -0.33564168, 0.0, 0.0","0.0, 1.0000305"
"0.36141473, 0.86102843, 0.51707673, -0.930478, 0.75065136, -0.37759817, 0.0, 0.0","0.0, 1.0000305"
"0.3664921, 0.83935577, 0.523142, -0.953821, 0.73002696, -0.4124883, 0.0, 0.0","0.32306895, 0.97320473"
"0.37141913, 0.8174854, 0.51005, -0.9618804, 0.70725363, -0.455468, 0.0, 0.0","0.60444957, 0.91088593"
"0.37615585, 0.79576164, 0.49285203, -0.954811, 0.6825853, -0.49336705, 0.0, 0.0","0.6432386, 0.87792593"
"0.38061398, 0.7739456, 0.4669927, -0.95840454, 0.6559083, -0.53354007, 0.0, 0.0","0.6566973, 0.8670614"
"0.38491353, 0.7519751, 0.45310697, -0.96488744, 0.6273382, -0.57140243, 0.0, 0.0","0.659505, 0.8638569"
"0.38898468, 0.73029774, 0.43222347, -0.951649, 0.5970267, -0.60622925, 0.0, 0.0","0.66640216, 0.8620563"
"0.39274064, 0.70848083, 0.40298438, -0.95761126, 0.5646503, -0.6475295, 0.0, 0.0","0.6708273, 0.8620563"
"0.39600793, 0.6871741, 0.35641685, -0.934846, 0.5302948, -0.6871116, 0.0, 0.0","0.67629015, 0.86092716"
"0.39885205, 0.66626, 0.31645936, -0.91745514, 0.49396008, -0.7266952, 0.0, 0.0","0.6796472, 0.86092716"
"0.4012948, 0.64572674, 0.27877071, -0.9007154, 0.45564055, -0.76639104, 0.0, 0.0","0.680929, 0.85909605"
"0.40361825, 0.6253149, 0.2690757, -0.89572805, 0.41559058, -0.8010001, 0.0, 0.0","0.680929, 0.8521378"
"0.40571222, 0.6047591, 0.24868338, -0.90261865, 0.3735468, -0.8408764, 0.0, 0.0","0.6715293, 0.82726526"
"0.40755424, 0.5844432, 0.22591338, -0.8926543, 0.32964686, -0.87799966, 0.0, 0.0","0.6407361, 0.7949156"
"0.40932846, 0.5643609, 0.22125897, -0.8832083, 0.28422084, -0.9085212, 0.0, 0.0","0.6097293, 0.77681816"
"0.4111291, 0.5446683, 0.22577128, -0.8670072, 0.23748304, -0.93475735, 0.0, 0.0","0.582049, 0.76216924"
"0.41300756, 0.5251064, 0.23538664, -0.862472, 0.18944716, -0.9607189, 0.0, 0.0","0.5594348, 0.7533189"
"0.41481322, 0.5058288, 0.23008308, -0.8512067, 0.13986982, -0.99154824, 0.0, 0.0","0.5044099, 0.7159948"
"0.4164633, 0.48688126, 0.21655087, -0.8380781, 0.08864145, -1.0245694, 0.0, 0.0","0.37351602, 0.5352336"
"0.4180066, 0.46804792, 0.20743339, -0.834726, 0.036110703, -1.050617, 0.0, 0.0","0.21051668, 0.1807001"
"0.41954145, 0.44928026, 0.20664737, -0.8336717, -0.016376143, -1.0497385, 0.0, 0.0","0.0, 0.08764916"
"0.42107686, 0.42994916, 0.20665148, -0.8605712, -0.068853036, -1.0495396, 0.0, 0.0","0.0, 0.04580828"
"0.42261392, 0.41005456, 0.20663722, -0.88747054, -0.12131997, -1.0493406, 0.0, 0.0","0.0, 0.031067843"
"0.4241542, 0.38959622, 0.20660472, -0.914369, -0.17377697, -1.0491416, 0.0, 0.0","0.0, 0.026947845"
"0.42569876, 0.36857393, 0.20655403, -0.941266, -0.22622405, -1.0489429, 0.0, 0.0","0.0, 0.024018068"
"0.42724895, 0.34698716, 0.20648532, -0.9681608, -0.27866122, -1.0487444, 0.0, 0.0","0.0, 0.011993774"
"0.42880583, 0.32483548, 0.20639876, -0.99505293, -0.33108842, -1.048546, 0.0, 0.0","0.0, -0.016693626"
"0.4303708, 0.3021183, 0.20629461, -1.0219417, -0.3835057, -1.0483476, 0.0, 0.0","0.0, -0.043855097"
"0.43194494, 0.27883494, 0.20617321, -1.0488266, -0.43591306, -1.0481492, 0.0, 0.0","0.0, -0.1672109"
"0.43352956, 0.25498462, 0.20603485, -1.0757067, -0.4883105, -1.0479511, 0.0, 0.0","0.0, -0.33375043"
"0.43512565, 0.23056634, 0.20587993, -1.1025817, -0.540698, -1.0477531, 0.0, 0.0","0.4263741, -0.5989563"
"0.43702468, 0.20647188, 0.23368105, -1.0893086, -0.59181535, -1.0223486, 0.0, 0.0","0.74898523, -0.6656392"
"0.43902618, 0.18238643, 0.24144652, -1.0898765, -0.641698, -0.9976555, 0.0, 0.0","0.8114566, -0.65251625"
"0.4413125, 0.15836579, 0.2672895, -1.0877248, -0.6901264, -0.96856964, 0.0, 0.0","0.871395, -0.59739983"
"0.44384462, 0.13411625, 0.28922373, -1.09844, -0.7370474, -0.93842155, 0.0, 0.0","0.9053011, -0.5321207"
"0.44701177, 0.11031741, 0.35028136, -1.0788879, -0.78265786, -0.91221017, 0.0, 0.0","0.93710136, -0.45454267"
"0.45054168, 0.086163364, 0.38461453, -1.0953497, -0.8276062, -0.8989679, 0.0, 0.0","0.9701529, -0.39616078"
"0.45473805, 0.062237557, 0.4496352, -1.0860184, -0.87234426, -0.89476186, 0.0, 0.0","0.9889523, -0.36313975"
"0.45973128, 0.03867818, 0.52769893, -1.0705558, -0.9169902, -0.8929211, 0.0, 0.0","1.0000305, -0.34208196"
"0.46512336, 0.0148354145, 0.5657853, -1.0837815, -0.9612841, -0.88587725, 0.0, 0.0","1.0000305, -0.33213294"
"0.4712352, -0.008620038, 0.63646424, -1.0676574, -1.0061624, -0.8975681, 0.0, 0.0","1.0000305, -0.32337412"
"0.47795248, -0.032363847, 0.69492215, -1.0808029, -1.0503503, -0.88376075, 0.0, 0.0","1.0000305, -0.30564287"
"0.48530406, -0.056359246, 0.75640994, -1.0923231, -1.0940073, -0.87314004, 0.0, 0.0","1.0000305, -0.2883694"
"0.49349755, -0.080456965, 0.8386852, -1.0972039, -1.1372373, -0.8646015, 0.0, 0.0","1.0000305, -0.24225593"
"0.5022577, -0.104809314, 0.8935865, -1.1089653, -1.1803282, -0.8618218, 0.0, 0.0","1.0000305, -0.22074038"
"0.5117005, -0.1292295, 0.96021783, -1.1126602, -1.2237297, -0.86803186, 0.0, 0.0","1.0000305, -0.21304971"
"0.5221057, -0.15377067, 1.0546336, -1.118386, -1.2670023, -0.8654531, 1.0, 0.0","0.9254128, -0.18591876"
"0.5333725, -0.1781428, 1.1361676, -1.1198952, -1.3123713, -0.8889659, 1.0, 0.0","0.58986175, -0.10498367"
"0.545091, -0.20259732, 1.1715323, -1.1331991, -1.3636045, -0.9336708, 1.0, 0.0","0.45576343, -0.05529954"
"0.5574859, -0.2271767, 1.2311412, -1.1483657, -1.4240224, -0.96375513, 1.0, 0.0","0.29618213, -0.032898955"
"0.57246625, -0.24529172, 1.3325794, -1.0092014, -1.5715865, -2.4299178, 1.0, 0.0","0.14682455, -0.022217475"
"0.5872658, -0.2625587, 1.3950024, -0.95354074, -1.7490053, -3.211774, 1.0, 0.0","0.0, -0.019318217"
"0.6025694, -0.28007585, 1.3931172, -0.9664566, -1.9353197, -3.3619735, 1.0, 0.0","0.0, -0.016968291"
"0.6182707, -0.29853666, 1.3914006, -0.9937767, -2.1229532, -3.2988582, 1.0, 0.0","0.0, -0.016327403"
"0.0069171907, 1.4012711, 0.7006257, -0.42887345, -0.00800855, -0.15870205, 0.0, 0.0","0.0, -0.016327403"
"0.013834667, 1.391046, 0.6996796, -0.45451143, -0.015850805, -0.15685967, 0.0, 0.0","0.0, -0.016327403"
"0.02075243, 1.3802212, 0.6997038, -0.48121402, -0.023688197, -0.1567626, 0.0, 0.0","0.0, -0.016327403"
"0.027670478, 1.368797, 0.6997269, -0.5078906, -0.03152457, -0.15674186, 0.0, 0.0","0.0, -0.016327403"
"0.034588717, 1.3567735, 0.69974977, -0.5345643, -0.039359666, -0.15671661, 0.0, 0.0","0.0, -0.016327403"
"0.04150734, 1.3441508, 0.69977283, -0.56123674, -0.047193494, -0.15669091, 0.0, 0.0","0.0, -0.016327403"
"0.04842615, 1.3309288, 0.6997957, -0.5879096, -0.05502607, -0.15666594, 0.0, 0.0","0.0, -0.016327403"
"0.055345155, 1.3171078, 0.6998185, -0.6145825, -0.06285741, -0.15664132, 0.0, 0.0","0.0, -0.016327403"
"0.06226454, 1.3026875, 0.69984114, -0.6412557, -0.070687525, -0.15661682, 0.0, 0.0","0.0, -0.016327403"
"0.06918421, 1.287668, 0.6998637, -0.6679291, -0.0785164, -0.15659209, 0.0, 0.0","0.0, -0.016327403"
"0.07610407, 1.272049, 0.699886, -0.6946028, -0.086344056, -0.15656766, 0.0, 0.0","0.0, -0.016327403"
"0.08302431, 1.2558309, 0.69990826, -0.7212766, -0.09417051, -0.1565432, 0.0, 0.0","0.0, -0.016327403"
"0.08994484, 1.2390137, 0.69993037, -0.7479506, -0.10199573, -0.15651879, 0.0, 0.0","0.0, -0.016327403"
"0.09686556, 1.221597, 0.6999523, -0.7746248, -0.10981974, -0.15649456, 0.0, 0.0","0.0, -0.016327403"
"0.10378675, 1.2035811, 0.6999741, -0.8012993, -0.11764254, -0.1564702, 0.0, 0.0","0.0, -0.016327403"
"0.11070814, 1.1849661, 0.69999576, -0.82797396, -0.12546414, -0.1564461, 0.0, 0.0","0.0, -0.016327403"
"0.11762981, 1.1657516, 0.7000172, -0.85464877, -0.13328454, -0.15642203, 0.0, 0.0","0.0, -0.050416578"
"0.12455177, 1.1459378, 0.70003855, -0.8813239, -0.14110371, -0.15639797, 0.0, 0.0","0.46900845, -0.3660085"
"0.13144283, 1.1260395, 0.6972968, -0.8851598, -0.1492924, -0.16378859, 0.0, 0.0","0.7545091, -0.6994842"
"0.1382618, 1.1066539, 0.6889715, -0.86230564, -0.15637007, -0.14156619, 0.0, 0.0","0.7668691, -0.74745935"
"0.14523268, 1.0879396, 0.7024974, -0.83233154, -0.1617825, -0.108258404, 0.0, 0.0","0.770043, -0.76296276"
"0.15230723, 1.0692607, 0.7111374, -0.8305813, -0.1654737, -0.07383038, 0.0, 0.0","0.7716605, -0.7679983"
"0.15948781, 1.050728, 0.7200391, -0.8239012, -0.1674561, -0.03965149, 0.0, 0.0","0.7716605, -0.7696463"
"0.16672687, 1.0322442, 0.72424924, -0.8215423, -0.16780478, -0.0069739195, 0.0, 0.0","0.7716605, -0.7696463"
"0.17392054, 1.0140079, 0.7183351, -0.81038636, -0.16677354, 0.020626865, 0.0, 0.0","0.77575, -0.7696463"
"0.1811386, 0.9958816, 0.7196134, -0.8053626, -0.16457824, 0.043910496, 0.0, 0.0","0.79494613, -0.72637105"
"0.18835497, 0.9778948, 0.71765715, -0.79898494, -0.16059786, 0.07960753, 0.0, 0.0","0.84524065, -0.65523237"
"0.19565324, 0.960572, 0.72453946, -0.7693382, -0.15530822, 0.10579245, 0.0, 0.0","0.89147615, -0.5785394"
"0.2031045, 0.94410557, 0.73853934, -0.7311693, -0.14872858, 0.1315928, 0.0, 0.0","0.9213233, -0.49021882"
"0.21053715, 0.9281699, 0.73727834, -0.70766366, -0.14275038, 0.119564176, 0.0, 0.0","0.948912, -0.43336284"
"0.218147, 0.912487, 0.7545435, -0.6964198, -0.13633598, 0.12828828, 0.0, 0.0","0.964568, -0.4051027"
"0.22598772, 0.897592, 0.7771516, -0.66138107, -0.1294457, 0.1378053, 0.0, 0.0","1.0000305, -0.36533707"
"0.23382959, 0.8828147, 0.7775487, -0.6562112, -0.1228354, 0.13220608, 0.0, 0.0","1.0000305, -0.33564258"
"0.24175015, 0.8687584, 0.78554505, -0.6242049, -0.11636341, 0.12943953, 0.0, 0.0","1.0000305, -0.31812495"
"0.24980888, 0.8552715, 0.7991432, -0.5989064, -0.10967556, 0.13375697, 0.0, 0.0","1.0000305, -0.31388286"
"0.25776377, 0.84214085, 0.7895535, -0.5831573, -0.10378777, 0.11775565, 0.0, 0.0","1.0000305, -0.31134984"
"0.26575145, 0.8298479, 0.7931522, -0.54597723, -0.0982078, 0.11159948, 0.0, 0.0","1.0000305, -0.31092256"
"0.27368793, 0.81756794, 0.7884425, -0.5454384, -0.09304924, 0.103170976, 0.0, 0.0","1.0000305, -0.31092256"
"0.28161603, 0.80622214, 0.78808576, -0.50396955, -0.088368654, 0.09361191, 0.0, 0.0","1.0000305, -0.31092256"
"0.28970394, 0.7950823, 0.80355006, -0.49480394, -0.083171286, 0.10394734, 0.0, 0.0","1.0000305, -0.31092256"
"0.29774657, 0.78484315, 0.79960877, -0.454817, -0.0785674, 0.09207781, 0.0, 0.0","1.0000305, -0.31092256"
"0.30599338, 0.7755577, 0.81946564, -0.41242656, -0.073398106, 0.10338565, 0.0, 0.0","1.0000305, -0.31092256"
"0.31423864, 0.7668354, 0.8195816, -0.3874193, -0.068499014, 0.09798163, 0.0, 0.0","1.0000305, -0.31092256"
"0.3225383, 0.75841874, 0.82494324, -0.37385163, -0.063541055, 0.0991594, 0.0, 0.0","1.0000305, -0.30640584"
"0.33102274, 0.7500674, 0.84270144, -0.3709339, -0.0578605, 0.113611475, 0.0, 0.0","1.0000305, -0.2863857"
"0.33955565, 0.74213594, 0.84750223, -0.3522997, -0.052138254, 0.114444815, 0.0, 0.0","1.0000305, -0.23780023"
"0.34827128, 0.734401, 0.8650492, -0.34356627, -0.04570065, 0.12875219, 0.0, 0.0","1.0000305, -0.13165686"
"0.35691977, 0.72755015, 0.8588575, -0.30431214, -0.039782282, 0.118367374, 0.0, 0.0","1.0000305, 0.17435224"
"0.3656129, 0.7211751, 0.8632456, -0.2831869, -0.03378978, 0.11985016, 0.0, 0.0","0.9588, 0.49519333"
"0.37447366, 0.71511984, 0.87931615, -0.26898432, -0.027119054, 0.13341455, 0.0, 0.0","0.83385724, 0.76924956"
"0.3833459, 0.7093453, 0.88215524, -0.25656125, -0.022118447, 0.10001209, 0.0, 0.0","0.7066866, 0.8335826"
"0.39235783, 0.703974, 0.8977068, -0.23867336, -0.018671546, 0.06893812, 0.0, 0.0","0.63994265, 0.86733603"
"0.4015684, 0.69878757, 0.9191335, -0.23048799, -0.016762778, 0.038175352, 0.0, 0.0","0.6122623, 0.87975705"
"0.4108122, 0.6936776, 0.92428386, -0.22709984, -0.016668929, 0.0018770834, 0.0, 0.0","0.6021912, 0.8832667"
"0.42018136, 0.6886053, 0.9385301, -0.22545426, -0.018262595, -0.03187328, 0.0, 0.0","0.59926146, 0.88515884"
"0.4297653, 0.68355876, 0.96159154, -0.22433874, -0.021421306, -0.06317426, 0.0, 0.0","0.59614855, 0.8863491"
"0.4392845, 0.67866784, 0.9571131, -0.21745627, -0.02655015, -0.10257679, 0.0, 0.0","0.59001434, 0.8863491"
"0.44880906, 0.6739885, 0.95955074, -0.20812035, -0.03355374, -0.14007194, 0.0, 0.0","0.58458203, 0.88897365"
"0.45857114, 0.66987777, 0.9848863, -0.18291196, -0.042129196, -0.17150924, 0.0, 0.0","0.57884455, 0.8921781"
"0.46839818, 0.66606444, 0.99322236, -0.16981217, -0.052521944, -0.2078549, 0.0, 0.0","0.57567066, 0.8921781"
"0.4783539, 0.6628193, 1.0078527, -0.14471048, -0.06466566, -0.24287438, 0.0, 0.0","0.57469404, 0.8950163"
"0.48837653, 0.6599626, 1.0163951, -0.12763633, -0.07865344, -0.27975577, 0.0, 0.0","0.57469404, 0.8950163"
"0.4985881, 0.65773886, 1.0369937, -0.099734165, -0.09434977, -0.31392664, 0.0, 0.0","0.57469404, 0.8950163"
"0.5090107, 0.65534866, 1.0597217, -0.10742566, -0.111682296, -0.34665054, 0.0, 0.0","0.57469404, 0.8950163"
"0.5194298, 0.6530162, 1.0613121, -0.10521896, -0.13096762, -0.38570672, 0.0, 0.0","0.57469404, 0.8950163"
"0.53002274, 0.6506583, 1.0803566, -0.10678217, -0.15197434, -0.42013437, 0.0, 0.0","0.57469404, 0.8950163"
"0.5408455, 0.6488786, 1.1050119, -0.08157514, -0.17471592, -0.45483184, 0.0, 0.0","0.57469404, 0.8950163"
"0.55175304, 0.6470181, 1.1152433, -0.08575945, -0.19931889, -0.49205953, 0.0, 0.0","0.64210945, 0.87527084"
"0.56293476, 0.64498645, 1.144081, -0.09398957, -0.22546993, -0.523021, 0.0, 0.0","0.79033786, 0.5296487"
"0.5742067, 0.64334524, 1.1542715, -0.07732124, -0.2529716, -0.55003303, 0.0, 0.0","1.0000305, 0.0135197"
"0.5856652, 0.6418243, 1.1724591, -0.072410576, -0.280193, -0.544429, 0.0, 0.0","0.957976, -0.5368816"
"0.5971918, 0.64092565, 1.178343, -0.045092914, -0.30666533, -0.5294465, 0.0, 0.0","0.8207953, -0.6930143"
"0.60879576, 0.64028937, 1.1845913, -0.033596177, -0.33183172, -0.5033277, 0.0, 0.0","0.6767479, -0.8156377"
"0.62049675, 0.639892, 1.1925905, -0.02299433, -0.35537496, -0.47086477, 0.0, 0.0","0.6045717, -0.8649861"
"0.63214016, 0.639419, 1.1850979, -0.02631813, -0.37730604, -0.43862247, 0.0, 0.0","0.57533497, -0.88119143"
"0.64369315, 0.6388889, 1.1743557, -0.028730396, -0.397626, -0.40639916, 0.0, 0.0","0.5628834, -0.8872036"
"0.65520036, 0.6384522, 1.1681184, -0.024397435, -0.41630694, -0.37361798, 0.0, 0.0","0.5595874, -0.88988924"
"0.66672933, 0.6381193, 1.1685414, -0.019498358, -0.4332696, -0.3392529, 0.0, 0.0","0.5577563, -0.890347"
"0.6783888, 0.6383862, 1.1799417, 0.0074623884, -0.44854465, -0.3055013, 0.0, 0.0","0.5577563, -0.890347"
"0.6900753, 0.6388606, 1.1810353, 0.017049802, -0.46213043, -0.27171633, 0.0, 0.0","0.5577563, -0.890347"
"0.7017897, 0.63946354, 1.1821693, 0.023188207, -0.4740035, -0.23746209, 0.0, 0.0","0.5577563, -0.890347"
"0.7137152, 0.6398691, 1.2014232, 0.014964391, -0.48386, -0.19712898, 0.0, 0.0","0.56630147, -0.89040804"
"0.72595847, 0.6406044, 1.2313768, 0.030182905, -0.49176148, -0.15802993, 0.0, 0.0","0.572161, -0.89040804"
"0.73827726, 0.6412186, 1.2373004, 0.02535777, -0.4978181, -0.121132754, 0.0, 0.0","0.5764031, -0.89040804"
"0.7507919, 0.64160585, 1.2550554, 0.015903935, -0.5018628, -0.08089402, 0.0, 0.0","0.58281195, -0.89040804"
"0.76339036, 0.6419837, 1.2618259, 0.01606674, -0.5040944, -0.044632375, 0.0, 0.0","0.58281195, -0.89040804"
"0.7761564, 0.64270264, 1.277016, 0.03180527, -0.50454706, -0.009052176, 0.0, 0.0","0.58555865, -0.89040804"
"0.78912336, 0.6433933, 1.295357, 0.031176545, -0.5030521, 0.02989923, 0.0, 0.0","0.5858638, -0.89040804"
"0.80236495, 0.64455944, 1.3212018, 0.05291351, -0.49970898, 0.06686279, 0.0, 0.0","0.5858638, -0.89040804"
"0.81581515, 0.64612126, 1.340436, 0.071073055, -0.4945606, 0.1029677, 0.0, 0.0","0.5858638, -0.89040804"
"0.8293333, 0.6477408, 1.3456268, 0.07417412, -0.48764035, 0.13840488, 0.0, 0.0","0.5858638, -0.89040804"
"0.8432468, 0.64964765, 1.3833026, 0.08756352, -0.47866347, 0.17953745, 0.0, 0.0","0.5858638, -0.89040804"
"0.8571127, 0.6514496, 1.3769538, 0.083382994, -0.46798673, 0.21353543, 0.0, 0.0","0.5858638, -0.89040804"
"0.87096405, 0.6531703, 1.3738981, 0.08021721, -0.45558098, 0.24811485, 0.0, 0.0","0.5858638, -0.89040804"
"0.8848543, 0.6550205, 1.3761603, 0.086371355, -0.44145587, 0.2825016, 0.0, 0.0","0.58592486, -0.89040804"
"0.8987932, 0.65718913, 1.3793675, 0.100871675, -0.42566025, 0.31591225, 0.0, 0.0","0.58592486, -0.89040804"
"0.9128622, 0.65984803, 1.3906789, 0.12297323, -0.40814802, 0.35024524, 0.0, 0.0","0.5859859, -0.89288"
"0.9271523, 0.66297597, 1.4109261, 0.14410792, -0.3887902, 0.38715714, 0.0, 0.0","0.5859859, -0.89324623"
"0.9416437, 0.66655654, 1.4292166, 0.16443752, -0.36759275, 0.42394796, 0.0, 0.0","0.5859859, -0.89324623"
"0.9561884, 0.6703022, 1.432688, 0.17189702, -0.34464377, 0.45897943, 0.0, 0.0","0.5697806, -0.89669484"
"0.97079813, 0.67396045, 1.4372244, 0.16807136, -0.31984738, 0.49592724, 0.0, 0.0","0.53779715, -0.8967559"
"0.98539126, 0.6780128, 1.4337842, 0.18551493, -0.2934035, 0.5288784, 0.0, 0.0","0.5557421, -0.8967559"
"0.99986535, 0.6820646, 1.4201186, 0.18533157, -0.2653442, 0.56118596, 0.0, 0.0","0.5398114, -0.86571854"
